,crop,State,Season,Yield -2005-06,Yield-2006-07,Yield-2007-08,Yield-2008-09,Yield-2009-10,Yield-2010-11,Yield-2011-12,Yield-2012-13,Yield-2013-14,Yield-2014-15,Yield-2015-16,Yield-2016-17,Yield-2017-18,Yield-2018-19,Yield-2019-20,Yield-2020-21*,Max_Temp,Min_Temp,Rainfall,Fertilizer,COI,COR,Soiltype,PhValue,AvgTemp
172,Pulses,Puducherry,Kharif,324,324,83,200,155,499,417,512,425,630,241,377,955,536,436,1544,32.61,24.76,1206.6,25,35000,3600,sandy soil,6.7,28.685
173,Gram,Andhra Pradesh,Rabi,1591,1085,1448,1412,1308,1233,920,1119,1439,1143,1062,960,1132,508,1218,1135,33.57,22.72,1002.37,120,20000,13500,clay soil,6.9,28.145
174,Gram,Assam,Kharif,500,500,500,529,517,500,509,557,698,938,704,651,687,699,698,695,28.57,18.85,1599.61,120,20000,13500,alluvial soil,6.9,23.71
175,Gram,Bihar,Kharif,902,818,972,925,1014,1187,1295,1402,1147,958,986,1120,1154,1199,730,1015,31.67,19.8,1133.081,120,20000,13500,alluvial soil,6.9,25.735
176,Gram,Chattisgarh,Kharif,706,843,874,831,880,959,995,1069,771,1035,722,1171,1010,1026,231,887,32.29,20.28,1341.33,120,20000,13500,alluvial soil,6.9,26.285
177,Gram,Gujarat,Rabi,850,870,977,1011,947,1136,1138,978,1251,1236,1330,1116,1285,1358,1568,1568,34.05,20.94,1155.18,120,20000,13500,alluvial soil,6.9,27.495
178,Gram,Haryana,Rabi,554,843,505,1041,738,982,911,1128,904,646,619,1189,1125,1385,1072,1005,31.88,19.16,1132.3,120,20000,13500,alluvial soil,6.9,25.52
179,Gram,Himachal Pradesh,Rabi,538,769,933,429,523,1000,971,1021,1000,927,1047,923,1042,1040,1070,1015,14.26,4.04,1656.61,120,20000,13500,alluvial soil,6.9,9.15
180,Gram,Jammu & Kashmir,Kharif,500,1085,1167,667,500,545,583,542,1308,1318,1288,1311,217,1385,300,1544,12.5,2.5,1599.61,120,20000,13500,sandysoil,6.9,7.5
181,Gram,Jharkhand,Kharif,1078,1085,1167,1119.5,914,1052,1067,1174,1166,1160,995,1174,1228,1166,1197,1257,31.28,19.38,1133.08,120,20000,13500,clay soil,6.9,25.33
182,Gram,Karnataka,Kharif,548,473,925,552,591,658,583,643,757,718,466,590,619,509,782,700,31.63,20.8,1002.37,120,20000,13500,alluvial soil,6.9,26.215
183,Gram,Madhya Pradesh,Kharif,926,980,607,981,1071,863,1081,1219,1044,1039,1115,1100,1280,1288,1417,1488,32.64,19.52,1341.33,120,20000,13500,black soil,6.9,26.08
184,Gram,Maharashtra,Kharif,691,706,711,677,863,904,775,763,891,762,539,891,917,825,1096,1105,33.48,20.57,1063.7,120,20000,13500,black soil,6.9,27.025
185,Gram,Meghalaya,Kharif,600,600,825,600,620,500,625,611,989,1033,1059,1065,1066,1068,1072,1544,26.82,17.99,1599.6,120,20000,13500,alluvial soil,6.9,22.405
186,Gram,Nagaland,Kharif,1000,1250,600,667,667,714,720,842,838,842,844,827,846,842,842,1544,25.26,15.26,1656.6,120,20000,13500,sandy soil,6.9,20.26
187,Gram,Odisha,Kharif,646,652,1500,662,748,780,765,774,768,770,769,768,778,780,779,773,32.61,20.86,1002.3,120,20000,13500,alluvial soil,6.9,26.735
188,Gram,Punjab,Rabi,750,1000,659,1172,1133,1286,1000,1400,1211,1056,1294,1375,1181,1330,1219,1320,31.14,18.04,992.5,120,20000,13500,clay soil,6.9,24.59
189,Gram,Rajasthan,Rabi,443,863,1000,779,605,898,740,1019,853,725,892,911,1074,1152,1079,1099,33.52,19.39,1062.3,120,20000,13500,alluvial soil,6.9,26.455
190,Gram,Tamil Nadu,Kharif,678,644,466,638,614,671,643,645,653,645,653,648,926,926,926,817,32.39,23.32,1386.4,120,20000,13500,sandy soil,6.9,27.855
191,Gram,Telangana,Kharif,1078,1085,1167,1119.5,1100,1144,1304.5,1350,1308,1372,714,1294,1516,1569,1532,1671,33.76,16.78,1092.6,120,20000,13500,sandy soil,6.9,25.27
192,Gram,Tripura,Kharif,500,1000,676,667,667,667,733,774,769,750,780,780,791,665,619,1544,30.09,20.32,1362,120,20000,13500,alluvial soil,6.9,25.205
193,Gram,Uttar Pradesh,Rabi,893,742,1000,1014,824,930,1185,1119,824,659,612,1114,1155,1272,1371,1376,32.56,19.59,1092.6,120,20000,13500,alluvial soil,6.9,26.075
194,Gram,Uttarakhand,Kharif,1000,1000,745,0,1000,785,1000,830,786,821,846,1000,782,800,763,751,19.24,9.03,1271.4,120,20000,13500,alluvial soil,6.9,14.135
195,Gram,West Bengal,Rabi,913,769,1000,1037,1108,1072,1049,1175,1175,1178,1192,1013,1150,1179,1313,1400,31.27,20.8,1260.5,120,20000,13500,clay soil,6.9,26.035
196,Gram,D & N Haveli,Kharif,500,500,984,500,798,1000,1000,1000,1000,1000,1050,1050,1363,1328,1371,1544,33.23,20.89,3050,120,20000,13500,clay soil,6.9,27.06
197,Gram,Delhi,Rabi,1000,1085,500,1119.5,1100,882,7000,1350,1500,1318,1317,2120,2000,2000,2000,1544,31.81,19.61,1500,120,20000,13500,alluvial soil,6.9,25.71
198,Tur,Andhra Pradesh,Kharif,609,401,652,456,438,415,303,524,542,503,600,380,430,182,486,357,33.57,22.72,1002.37,6.5,14047,29261,clay soil,6.25,28.145
199,Tur,Arunachal Pradesh,Kharif,1000,1000,1000,1000,833,833,879,968,1111,1091,905,814,825,864,869,1544,24.84,14.24,1656.61,6.5,14047,29261,sandy soil,6.25,19.54
200,Tur,Assam,Rabi,692,714,667,704,709,718,714,829,932,941,880,858,833,833,864,844,28.57,18.85,1599.61,6.5,14047,29261,clay soil,6.25,23.71
201,Tur,Bihar,Rabi,1291,989,1012,1178,1514,1404,1514,2131,1667,1438,1577,1581,1548,1852,1681,1624,31.67,19.8,1133.081,6.5,14047,29261,clay soil,6.25,25.735
202,Tur,Chattisgarh,Rabi,445,426,522,583,510,440,433,620,614,636,458,598,601,480,628,599,32.29,20.28,1341.33,6.5,14047,29261,alluvial soil,6.25,26.285
203,Tur,Gujarat,Kharif,1102,751,1109,989,906,986,1053,1184,995,1098,1125,1156,1243,1209,991,1104,34.05,20.94,1155.18,6.5,14047,29261,clay soil,6.25,27.495
204,Tur,Haryana,Rabi,1067,1100,1138,1091,1045,1080,1111,1086,1176,1098,1000,915,1097,1211,1120,1250,31.88,19.16,1132.3,6.5,14047,29261,alluvial soil,6.25,25.52
205,Tur,Himachal Pradesh,Kharif,1078,1085,1167,1119.5,1100,1144,417,364,1308,500,326,375,511,510,650,680,14.26,4.04,1656.61,6.5,14047,29261,clay soil,6.25,9.15
206,Tur,Jharkhand,Rabi,633,645,800,616,871,686,904,1034,1043,1018,903,1002,1147,1014,1048,1138,31.28,19.38,1133.08,6.5,14047,29261,clay soil,6.25,25.33
207,Tur,Karnataka,Kharif,727,470,712,528,467,594,462,555,713,651,368,749,861,639,729,759,31.63,20.8,1002.37,6.5,14047,29261,clay soil,6.25,26.215
208,Tur,Kerala,Kharif,1078,1085,670,1119.5,1100,1144,1693,1588,941,1885,1289,1580,1560,1674,1668,1647,30.61,22.6,1478.6,6.5,14047,29261,clay soil,6.25,26.605
209,Tur,Madhya Pradesh,Kharif,739,683,922,804,851,337,625,662,716,981,1079,1133,1297,846,1103,1134,32.64,19.52,1341.33,6.5,14047,29261,black soil,6.25,26.08
210,Tur,Maharashtra,Kharif,720,726,750,600,841,750,706,819,906,600,450,1042,909,662,907,1035,33.48,20.57,1063.7,6.5,14047,29261,black soil,6.25,27.025
211,Tur,Meghalaya,Rabi,750,750,1000,750,784,750,759,1152,1362,1278,1295,1299,1295,1295,1298,1544,26.82,17.99,1599.6,6.5,14047,29261,clay soil,6.25,22.405
212,Tur,Mizoram,Kharif,1000,1000,1189,1119.5,1100,1144,1304.5,1350,1308,1318,1288,965,1031,1006,940,1544,27.46,18.15,2539.4,6.5,14047,29261,clay soil,6.25,22.805
213,Tur,Nagaland,Kharif,950,1200,825,938,703,840,853,899,896,900,902,903,913,910,910,1544,25.26,15.26,1656.6,6.5,14047,29261,clay soil,6.25,20.26
214,Tur,Odisha,Rabi,742,803,900,860,841,916,812,912,896,898,886,884,897,1022,1124,953,32.61,20.86,1002.3,6.5,14047,29261,alluvial soil,6.25,26.735
215,Tur,Punjab,Kharif,885,931,876,966,957,929,1000,903,897,923,1000,860,1030,1047,1095,1162,31.14,18.04,992.5,6.5,14047,29261,clay soil,6.25,24.59
216,Tur,Rajasthan,Rabi,647,503,701,772,381,761,666,879,649,736,548,1088,1017,941,586,879,33.52,19.39,1062.3,6.5,14047,29261,sandy soil,6.25,26.455
217,Tur,Tamil Nadu,Kharif,540,732,750,608,765,662,870,785,967,1064,908,655,1093,1248,1273,1060,32.39,23.32,1386.4,6.5,14047,29261,sandy soil,6.25,27.855
218,Tur,Telangana,Kharif,1078,1085,1167,1119.5,1100,1144,1304.5,1350,1308,495,419,676,798,647,903,778,33.76,16.78,1092.6,6.5,14047,29261,clay soil,6.25,25.27
219,Tur,Tripura,Kharif,692,750,891,700,725,750,747,749,717,722,687,705,738,759,802,1544,30.09,20.32,1362,6.5,14047,29261,sandy soil,6.25,25.205
220,Tur,Uttar Pradesh,Rabi,987,749,667,914,662,898,1044,1045,900,606,691,1074,1175,1084,980,988,32.56,19.59,1092.6,6.5,14047,29261,black soil,6.25,26.075
221,Tur,Uttarakhand,Kharif,1000,500,818,667,1000,706,1000,799,810,902,770,1000,967,805,851,1185,19.24,9.03,1271.4,6.5,14047,29261,sandy soil,6.25,14.135
222,Tur,West Bengal,Kharif,889,700,1167,833,728,1423,432,1434,1429,1434,1480,1249,1300,1543,852,1250,31.27,20.8,1260.5,6.5,14047,29261,clay soil,6.25,26.035
223,Tur,D & N Haveli,Rabi,867,867,867,867,800,801,801,800,804,805,1200,2886,1000,1335,1000,1544,33.23,20.89,3050,6.5,14047,29261,clay soil,6.25,27.06
224,Tur,Delhi,Rabi,1000,1500,1500,2000,1838,1750,1727,1724,1308,1318,3522,1311,1363,1385,1371,1544,31.81,19.61,1500,6.5,14047,29261,sandy soil,6.25,25.71
225,Oil seeds,Andhra Pradesh,Rabi,698,609,1276,842,724,861,650,849,929,557,954,581,1328,589,1194,858,33.57,22.72,1002.37,140,11500,12000,sandy soil,6.5,28.145
226,Oil seeds,Arunachal Pradesh,Kharif,838,838,962,963,928,921,1015,909,958,971,1040,1040,1040,1040,1041,1544,24.84,14.24,1656.61,140,11500,12000,alluvial soil,6.5,19.54
227,Oil seeds,Assam,Kharif,465,495,523,542,526,576,557,610,611,670,694,643,638,642,619,633,28.57,18.85,1599.61,140,11500,12000,clay soil,6.5,23.71
228,Oil seeds,Bihar,Rabi,982,1031,979,999,1042,1048,1046,1120,1189,1093,1059,1155,1208,1248,1102,1000,31.67,19.8,1133.081,140,11500,12000,clay soil,6.5,25.735
229,Oil seeds,Chattisgarh,Rabi,419,503,532,507,607,686,550,723,640,599,501,572,461,561,720,611,32.29,20.28,1341.33,140,11500,12000,clay soil,6.5,26.285
230,Oil seeds,Goa,Kharif,2394,1769,1892,2158,2807,2862,2500,2409,2544,1899,2126,2352,2258,2345,2503,1544,31.39,22.31,2539.46,140,11500,12000,sandy soil,6.5,26.85
231,Oil seeds,Gujarat,Rabi,1544,908,1618,1345,1109,1692,1608,1103,2231,1920,1627,1725,2125,1458,2320,1842,34.05,20.94,1155.18,140,11500,12000,alluvial soil,6.5,27.495
232,Oil seeds,Haryana,Rabi,1124,1344,1214,1723,1645,1855,1394,1712,1637,1456,1589,1832,2008,2042,1783,2005,31.88,19.16,1132.3,140,11500,12000,clay soil,6.5,25.52
233,Oil seeds,Himachal Pradesh,Kharif,344,477,442,365,271,514,579,514,490,542,520,487,590,590,619,689,14.26,4.04,1656.61,140,11500,12000,clay soil,6.5,9.15
234,Oil seeds,Jammu & Kashmir,Kharif,429,610,846,760,763,821,826,789,895,682,599,523,760,1086,859,1544,12.5,2.5,1599.61,140,11500,12000,clay soil,6.5,7.5
235,Oil seeds,Jharkhand,Rabi,311,422,553,560,563,625,680,787,663,664,681,732,713,684,784,811,31.28,19.38,1133.08,140,11500,12000,clay soil,6.5,25.33
236,Oil seeds,Karnataka,Rabi,600,478,681,556,502,782,665,647,824,698,583,623,883,824,1025,1012,31.63,20.8,1002.37,140,11500,12000,sandy soil,6.5,26.215
237,Oil seeds,Kerala,Kharif,667,889,706,696,632,1032,1230,1045,980,1054,1049,125,900,697,733,560,30.61,22.6,1478.6,140,11500,12000,clay soil,6.5,26.605
238,Oil seeds,Madhya Pradesh,Rabi,1009,955,1015,1075,1129,1143,1073,1231,858,1093,841,1177,1046,1247,864,822,32.64,19.52,1341.33,140,11500,12000,sandy soil,6.5,26.08
239,Oil seeds,Maharashtra,Rabi,925,963,1274,857,725,1394,1223,1337,1276,672,579,1160,1017,1096,1144,1391,33.48,20.57,1063.7,140,11500,12000,clay soil,6.5,27.025
240,Oil seeds,Manipur,Kharif,7000,7000,1167,778,778,774,788,729,840,863,847,858,870,855,846,1544,25.72,15.68,1656.6,140,11500,12000,alluvial soil,6.5,20.7
241,Oil seeds,Meghalaya,Kharif,684,673,670,676,701,704,766,695,1030,1071,1091,1051,1057,1059,1060,1544,26.82,17.99,1599.6,140,11500,12000,alluvial soil,6.5,22.405
242,Oil seeds,Mizoram,Rabi,1125,927,229,781,1106,1203,967,1078,1146,1117,1112,1140,1113,1193,1123,1544,27.46,18.15,2539.4,140,11500,12000,sandy soil,6.5,22.805
243,Oil seeds,Nagaland,Kharif,926,901,896,1142,835,1040,1043,1047,1048,1048,1047,1050,1050,1050,1050,1544,25.26,15.26,1656.6,140,11500,12000,clay soil,6.5,20.26
244,Oil seeds,Odisha,Rabi,565,550,608,604,589,619,661,700,755,667,632,681,625,662,725,801,32.61,20.86,1002.3,140,11500,12000,sandy soil,6.5,26.735
245,Oil seeds,Punjab,Kharif,1097,1111,1288,1276,1354,1336,1360,1350,1335,1265,1318,1386,1482,1499,1472,1544,31.14,18.04,992.5,140,11500,12000,clay soil,6.5,24.59
246,Oil seeds,Rajasthan,Rabi,1134,1146,1051,1114,1066,1203,1243,1296,1144,1192,1182,1351,1477,1581,1248,1529,33.52,19.39,1062.3,140,11500,12000,sandy soil,6.5,26.455
247,Oil seeds,Tamil Nadu,Kharif,727,727,872,763,959,832,841,863,887,891,909,918,924,925,925,1544,32.39,23.32,1386.4,140,11500,12000,black soil,6.5,27.855
248,Oil seeds,Telangana,Rabi,1624,1829,1739,1782,1898,2077,2479,2103,2362,2374,2290,1870,2729,2411,2626,2073,33.76,16.78,1092.6,140,11500,12000,clay soil,6.5,25.27
249,Oil seeds,Tripura,Kharif,1078,1085,1167,1119.5,1100,1144,1304.5,1350,1308,1270,1102,1385,1791,1835,1886,1737,30.09,20.32,1362,140,11500,12000,clay soil,6.5,25.205
250,Oil seeds,Uttar Pradesh,Rabi,709,705,675,714,717,732,751,506,759,793,771,814,780,817,838,1544,32.56,19.59,1092.6,140,11500,12000,clay soil,6.5,26.075
251,Oil seeds,Uttarakhand,Kharif,993,837,856,865,753,832,828,898,810,698,670,876,1054,1079,908,1054,19.24,9.03,1271.4,140,11500,12000,sandy soil,6.5,14.135
252,Oil seeds,West Bengal,Rabi,857,750,967,1000,1138,1012,1082,1236,1070,938,1100,929,916,938,947,957,31.27,20.8,1260.5,140,11500,12000,sandy soil,6.5,26.035
253,Oil seeds,D & N Haveli,Kharif,952,918,997,828,1065,1047,994,1162,1181,1161,1168,1147,1198,1255,1060,1260,33.23,20.89,3050,140,11500,12000,sandy soil,6.5,27.06
254,Oil seeds,Delhi,Kharif,1000,1000,1000,1119.5,680,750,704,604,667,571,1288,366,361,590,354,1544,31.81,19.61,1500,140,11500,12000,clay soil,6.5,25.71
255,Oil seeds,Puducherry,Kharif,763,1500,871,154,1256,1300,1251,1265,1308,1318,1260,1248,1260,1262,1261,1544,32.61,24.76,1206.6,140,11500,12000,sandy soil,6.5,28.685
256,GroundNut,Andhra Pradesh,Kharif,728,1806,1925,1928,2128,659,1848,1927,1875,2329,2183,2650,2435,2122,2439,1920,33.57,22.72,1002.37,190,18000,10000,red soil,6.75,28.145
257,GroundNut,Andhra Pradesh,Rabi,556,557,1451,880,773,2073,646,829,892,564,1034,595,1426,618,1284,894,33.57,22.72,1002.37,190,18000,10000,sandy soil,6.75,28.145
258,GroundNut,Bihar,Kharif,1333,1142,1256,1352,1353,1000,1320,1379,1457,1412,1231,1841,1645,1338,1524,1512,31.67,19.8,1133.081,190,18000,10000,alluvial soil,6.75,25.735
259,GroundNut,Chattisgarh,Kharif,2500,2000,2000,1500,2102,1462,2833,2540,2436,2028,2042,2557,2325,2370,2764,1544,32.29,20.28,1341.33,190,18000,10000,sandy soil or clay soil,6.75,26.285
260,GroundNut,Goa,Kharif,2394,1727,1875,2281,2981,2800,2458,2382,2564,1874,2146,2302,2243,2320,2500,1544,31.39,22.31,2539.46,190,18000,10000,laterite soil,6.75,26.85
261,GroundNut,Goa,Rabi,1707,1769,1892,2158,2807,2875,2500,2409,2544,1899,2126,2352,2258,2345,2503,1544,31.39,22.31,2539.46,190,18000,10000,laterite soil,6.75,26.85
262,GroundNut,Gujarat,Kharif,1734,2000,1724,1830,1908,1868,1914,2288,1789,1818,1655,1794,1842,2156,2393,2287,34.05,20.94,1155.18,190,18000,10000,sandy soil,6.75,27.495
263,GroundNut,Gujarat,Rabi,733,809,1777,1395,964,1801,1612,590,2668,2154,1654,1795,2345,1382,2751,1908,34.05,20.94,1155.18,190,18000,10000,sandy soil,6.75,27.495
264,GroundNut,Haryana,Kharif,1078,1085,1167,1000,670,1000,917,909,600,600,1288,1020,1028,1030,1160,1210,31.88,19.16,1132.3,190,18000,10000,sandy soil,6.75,25.52
265,GroundNut,Himachal Pradesh,Kharif,590,1085,1167,836,756,742,1196,1170,1194,1013,830,1049,1111,1032,1103,1110,14.26,4.04,1656.61,190,18000,10000,clay soil,6.75,9.15
266,GroundNut,Jharkhand,Kharif,924,434,784,545,565,914,650,560,844,729,675,499,886,720,941,940,31.28,19.38,1133.08,190,18000,10000,sandy soil,6.75,25.33
267,GroundNut,Karnataka,Kharif,645,760,906,788,804,853,917,913,912,874,738,1012,1190,868,1198,1030,31.63,20.8,1002.37,190,18000,10000,sandy soil,6.75,26.215
268,GroundNut,Karnataka,Rabi,727,497,807,589,626,952,716,671,863,768,693,629,980,759,998,966,31.63,20.8,1002.37,190,18000,10000,sandy soil,6.75,26.215
269,GroundNut,Kerala,Kharif,831,948,940,1140,1158,1267,1618,1515,1567,1602,1405,1482,1550,1849,1587,1569,30.61,22.6,1478.6,190,18000,10000,laterite soil,6.75,26.605
270,GroundNut,Madhya Pradesh,Kharif,1429,743,1112,1016,1015,1496,1080,992,1213,1037,969,1221,1148,936,156,1190,32.64,19.52,1341.33,190,18000,10000,clay soil,6.75,26.08
271,GroundNut,Maharashtra,Kharif,958,1355,1413,1516,1557,1258,1446,1531,1366,1518,1376,1113,1349,1308,1687,1453,33.48,20.57,1063.7,190,18000,10000,sandy soil,6.75,27.025
272,GroundNut,Maharashtra,Rabi,1000,889,1168,1116,1118,1390,1158,1056,1248,1159,1081,1184,1183,977,1063,1294,33.48,20.57,1063.7,190,18000,10000,red laterite soil,6.75,27.025
273,GroundNut,Nagaland,Kharif,1414,904,982,980,968,1000,830,1070,1112,1030,837,998,950,1074,1241,1491,25.26,15.26,1656.6,190,18000,10000,sandy soil,6.75,20.26
274,GroundNut,Odisha,Kharif,1171,1292,1376,1279,1334,977,1486,1345,1704,1471,1242,1533,1308,1453,1610,1771,32.61,20.86,1002.3,190,18000,10000,clay soil,6.75,26.735
275,GroundNut,Odisha,Rabi,882,1113,1219,1156,1169,1362,1189,1231,1449,1268,1097,1229,1134,1277,1471,1692,32.61,20.86,1002.3,190,18000,10000,clay soil,6.75,26.735
276,GroundNut,Punjab,Kharif,1526,1310,1728,1670,1087,1773,1926,1549,1950,2019,2029,2051,1966,2056,2195,2259,31.14,18.04,992.5,190,18000,10000,clay soil,6.75,24.59
277,GroundNut,Rajasthan,Kharif,2103,1329,1417,1674,1728,1963,2202,1890,2213,2340,2175,1567,2460,2169,2479,2107,33.52,19.39,1062.3,190,18000,10000,clay soil,6.75,26.455
278,GroundNut,Tamil Nadu,Kharif,1775,3729,3078,2622,3104,1881,3751,3149,3628,3442,3293,3232,3917,3491,3742,2740,32.39,23.32,1386.4,190,18000,10000,clay soil,6.75,27.855
279,GroundNut,Tamil Nadu,Rabi,1078,1981,1957,1989,2155,3331,2751,2315,2721,2753,2574,2084,3078,2718,2980,2310,32.39,23.32,1386.4,190,18000,10000,sandy soil,6.75,27.855
280,GroundNut,Telangana,Kharif,1078,1085,1167,1119.5,1100,1144,1304.5,1350,1308,1930,1623,2071,2236,2489,2348,2445,33.76,16.78,1092.6,190,18000,10000,clay soil,6.75,25.27
281,GroundNut,Telangana,Rabi,1000,1085,1167,1119.5,1100,1144,1304.5,1350,1308,1910,1609,2060,2230,2491,2391,2341,33.76,16.78,1092.6,190,18000,10000,sandy soil,6.75,25.27
282,GroundNut,Tripura,Kharif,889,1000,1000,1000,1040,1333,1297,1315,1257,1280,1160,1584,1231,1438,1509,1544,30.09,20.32,1362,190,18000,10000,sandy soil,6.75,25.205
283,GroundNut,Tripura,Rabi,851,1000,1000,1000,1095,1000,1220,1229,1180,1180,1154,1459,1215,1376,1420,1544,30.09,20.32,1362,190,18000,10000,sandy soil,6.75,25.205
284,GroundNut,Uttar Pradesh,Kharif,933,2000,1000,2000,2000,988,1000,1163,1176,1103,1415,1000,1377,1038,1089,1852,32.56,19.59,1092.6,190,18000,10000,alluvial soil,6.75,26.075
285,GroundNut,Uttarakhand,Kharif,1727,1000,909,958,916,1091,864,1000,917,925,902,964,960,984,1120,1242,19.24,9.03,1271.4,190,18000,10000,alluvial soil,6.75,14.135
286,GroundNut,West Bengal,Kharif,1703,1744,1968,1763,1742,857,1969,2585,2627,2362,2290,2318,2394,2899,2264,2936,31.27,20.8,1260.5,190,18000,10000,clay soil,6.75,26.035
287,GroundNut,West Bengal,Rabi,1938,1713,1918,1735,1715,1690,1939,2526,2544,2324,2255,2279,2343,2788,2198,2792,31.27,20.8,1260.5,190,18000,10000,sandy soil,6.75,26.035
288,GroundNut,Puducherry,Kharif,829,600,500,667,500,1962,667,500,600,500,1000,400,457,345,485,482,32.61,24.76,1206.6,190,18000,10000,sandy soil,6.75,28.685
289,Mustard,Andhra Pradesh ,Rabi,456,829,945,919,919,520,985,905,936,1016,1089,1019,1019,1019,1019,1544,33.57,22.72,1002.37,2.1,27000,40000,sandy soil,6.75,28.145
290,Mustard,Arunachal Pradesh,Kharif,926,487,523,543,525,893,560,610,605,667,698,644,639,643,617,633,24.84,14.24,1656.61,2.1,27000,40000,alluvial soil,6.75,19.54
291,Mustard,Assam,Kharif,330,1029,947,959,1008,581,1029,1132,1245,1100,1053,1180,1245,1290,1187,1131,28.57,18.85,1599.61,2.1,27000,40000,alluvial soil,6.75,23.71
292,Mustard,Bihar,Rabi,1349,399,402,379,419,1028,436,514,557,575,517,388,415,419,416,517,31.67,19.8,1133.081,2.1,27000,40000,clay soil,6.75,25.735
293,Mustard,Chattisgarh,Kharif,1117,1396,1635,1136,1579,407,1572,1695,1723,1422,1611,1711,1808,1784,1932,1976,32.29,20.28,1341.33,2.1,27000,40000,alluvial soil,6.75,26.285
294,Mustard,Gujarat,Rabi,292,1343,1198,1738,1655,1565,1396,1721,1639,1432,1594,1853,2018,2058,1793,2027,34.05,20.94,1155.18,2.1,27000,40000,clay soil,6.75,27.495
295,Mustard,Haryana,Kharif,406,506,409,270,287,1869,619,520,483,543,517,506,546,550,570,650,31.88,19.16,1132.3,2.1,27000,40000,clay soil,6.75,25.52
296,Mustard,Himachal Pradesh,Rabi,1078,649,892,791,788,532,851,817,935,700,612,526,793,1149,899,1544,14.26,4.04,1656.61,2.1,27000,40000,alluvial soil,6.75,9.15
297,Mustard,Jammu & Kashmir,Kharif,400,1085,1167,541,578,851,670,783,629,625,698,728,715,695,794,823,12.5,2.5,1599.61,2.1,27000,40000,clay soil,6.75,7.5
298,Mustard,Jharkhand,Kharif,1047,250,250,400,400,653,250,500,333,500,150,200,168,202,1371,225,31.28,19.38,1133.08,2.1,27000,40000,alluvial soil,6.75,25.33
299,Mustard,Karnataka,Rabi,308,999,927,1034,1074,500,1108,1172,1108,1006,1079,1299,1305,1471,1538,1713,31.63,20.8,1002.37,2.1,27000,40000,sandy soil,6.75,26.215
300,Mustard,Madhya Pradesh,Kharif,1078,357,444,333,333,1148,308,222,400,200,300,358,286,367,330,360,32.64,19.52,1341.33,2.1,27000,40000,black soil,6.75,26.08
301,Mustard,Maharashtra,Rabi,667,1085,1167,500,500,375,764,839,837,867,846,855,856,840,840,1544,33.48,20.57,1063.7,2.1,27000,40000,alluvial soil,6.75,27.025
302,Mustard,Manipur,Kharif,833,667,658,681,680,779,680,672,938,956,967,934,935,936,936,1544,25.72,15.68,1656.6,2.1,27000,40000,alluvial soil,6.75,20.7
303,Mustard,Meghalaya,Kharif,800,600,1000,600,750,681,944,690,1100,1000,934,1003,1002,777,714,1544,26.82,17.99,1599.6,2.1,27000,40000,sandy soil,6.75,22.405
304,Mustard,Mizoram,Kharif,190,753,782,1000,800,750,1005,1009,1010,1012,1011,1013,1012,1012,1012,1544,27.46,18.15,2539.4,2.1,27000,40000,sandy soil,6.75,22.805
305,Mustard,Nagaland,Rabi,1102,171,201,182,211,1000,212,275,269,244,205,345,326,275,293,264,25.26,15.26,1656.6,2.1,27000,40000,sandy soil,6.75,20.26
306,Mustard,Odisha,Rabi,1205,1122,1179,1222,1300,208,1276,1281,1306,1248,1348,1413,1498,1524,1482,1591,32.61,20.86,1002.3,2.1,27000,40000,clay soil,6.75,26.735
307,Mustard,Punjab,Rabi,661,1185,946,1234,1276,1323,1189,1346,1233,1170,1287,1422,1602,1709,1366,1659,31.14,18.04,992.5,2.1,27000,40000,alluvial soil,6.75,24.59
308,Mustard,Rajasthan,Rabi,200,661,860,707,914,1188,801,799,830,832,852,866,875,876,878,1544,33.52,19.39,1062.3,2.1,27000,40000,clay soil,6.75,26.455
309,Mustard,Sikkim,Kharif,1078,333,333,333,333,792,229,230,241,233,229,200,232,232,233,236,12.16,0.35,2500,2.1,27000,40000,alluvial soil,6.75,6.255
310,Mustard,Tamil Nadu,Rabi,821,1085,1167,1119.5,1100,233,1304.5,1350,1308,2000,2000,1667,1594,1940,1706,1535,32.39,23.32,1386.4,2.1,27000,40000,sandy soil,6.75,27.855
311,Mustard,Telangana,Kharif,1149,824,733,750,767,1144,789,799,824,831,805,825,830,831,845,1544,33.76,16.78,1092.6,2.1,27000,40000,clay soil,6.75,25.27
312,Mustard,Tripura,Kharif,667,1057,1157,1123,1113,750,1136,1263,1113,930,1017,1245,1392,1483,1260,1412,30.09,20.32,1362,2.1,27000,40000,alluvial soil,6.75,25.205
313,Mustard,Uttar Pradesh,Rabi,909,563,643,714,800,1187,867,933,739,716,979,846,794,939,967,857,32.56,19.59,1092.6,2.1,27000,40000,alluvial soil,6.75,26.075
314,Mustard,Uttarakhand,Kharif,763,803,888,764,1080,803,908,1062,1066,1069,1090,1077,1175,1212,1167,1215,19.24,9.03,1271.4,2.1,27000,40000,clay soil,6.75,14.135
315,Mustard,West Bengal,Rabi,471,1500,871,154,1256,1021,1251,1265,1308,1318,1260,1248,1260,1262,1261,1544,31.27,20.8,1260.5,2.1,27000,40000,alluvial soil,6.75,26.035
316,Mustard,Delhi,Rabi,1000,643,750,462,429,1300,700,825,750,1000,1288,1311,1363,1385,490,605,31.81,19.61,1500,2.1,27000,40000,clay soil,6.75,25.71
